KEY,COLUMN_2,COLUMN_3
Engine2Dissassembled_CardDescription,Here's the other engine. It no longer has any usable parts.,Here's the other engine. It no longer has any usable parts.
Engine2Open_CardName,Engine (open),Engine (open)
Engine2Open_CardDescription,Here's the other engine. I might be able to dissasemble it for parts.,Here's the other engine. I might be able to dissasemble it for parts.
Engine2Open_DismantleActions[0].ActionName,Disassemble,Disassemble
Radio_CardName,Radio,Radio
Radio_CardDescription,Looks to be in good shape. Should work as long as its batteries are charged.,Looks to be in good shape. Should work as long as its batteries are charged.
Radio_DismantleActions[0].ActionName,Tune Radio,Tune Radio
Radio_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,Not enough battery...,Not enough battery...
AloeVera_CardName,Aloe Vera,Aloe Vera
AloeVera_CardDescription,I could harvest its leaves and make a gel out of it that can help me treat and prevent sunburns. It's also good for back pain and bug bites.,I could harvest its leaves and make a gel out of it that can help me treat and prevent sunburns. It's also good for back pain and bug bites.
AloeVera_DismantleActions[0].ActionName,Harvest Leaves,Harvest Leaves
AloeVera_DismantleActions[0].ActionLog.LogText,I cut some aloe vera leaves.,I cut some aloe vera leaves.
AssortedMushroomsPlant_CardName,Assorted Mushrooms,Assorted Mushrooms
AssortedMushroomsPlant_CardDescription,"Edible, as long as I'm able to recognize the good ones from the bad ones.","Edible, as long as I'm able to recognize the good ones from the bad ones."
AssortedMushroomsPlant_DismantleActions[0].ActionName,Harvest,Harvest
BananaStump_CardName,Banana Tree Stump,Banana Tree Stump
BananaStump_CardDescription,I can place a water container here it to fill it with water.,I can place a water container here it to fill it with water.
BananaStump_InventorySlotsText,Drag Bowl to fill it with Water,Drag Bowl to fill it with Water
BananaStump_CookingRecipes[0].ActionName,Continue Filling,Continue Filling
BananaStump_CookingRecipes[1].ActionName,Start Filling,Start Filling
BananaStump_CookingRecipes[2].ActionName,Cured Leather,Cured Leather
BananaStump_CookingRecipes[2].CustomCookingText,Curing Leather,Curing Leather
BananaTree_CardName,Banana Tree,Banana Tree
BananaTree_CardDescription,I can get bananas from here.,I can get bananas from here.
BananaTree_DismantleActions[0].ActionName,Collect Bananas,Collect Bananas
BananaTree_DismantleActions[0].ActionLog.LogText,I harvested some Bananas.,I harvested some Bananas.
BananaTreeCleared_CardName,Cleared Banana Tree,Cleared Banana Tree
BananaTreeCleared_CardDescription,"No bananas left here, but its wood is edible.","No bananas left here, but its wood is edible."
BananaTreeCleared_CardInteractions[0].ActionName,Cut Down Tree,Cut Down Tree
BananaTreeCleared_CardInteractions[1].ActionName,Cut Down Tree,Cut Down Tree
ChiliPlant_CardName,Chilli Plant,Chilli Plant
ChiliPlant_CardDescription,I could harvest some chilies for later.,I could harvest some chilies for later.
ChiliPlant_DismantleActions[0].ActionName,Harvest Chilies,Harvest Chilies
ChiliPlant_DismantleActions[0].ActionLog.LogText,I harvested some Chilies.,I harvested some Chilies.
ChinaRosePlant_CardName,China Rose,China Rose
ChinaRosePlant_CardDescription,"Beatiful and edible flowers, could wear them or make them into tea too.","Beatiful and edible flowers, could wear them or make them into tea too."
ChinaRosePlant_DismantleActions[0].ActionName,Harvest Flowers,Harvest Flowers
CoffeePlant_CardName,Coffee Bush,Coffee Bush
CoffeePlant_CardDescription,I could harvest coffee beans from here.,I could harvest coffee beans from here.
CoffeePlant_DismantleActions[0].ActionName,Harvest,Harvest
CoffeePlant_DismantleActions[0].ActionLog.LogText,I harvested some Chilies.,I harvested some Chilies.
GingerPlant_CardName,Ginger Plant,Ginger Plant
GingerPlant_CardDescription,Can be ground and prepared into a brew that should boost my immune system and help with stomach problems.,Can be ground and prepared into a brew that should boost my immune system and help with stomach problems.
GingerPlant_DismantleActions[0].ActionName,Harvest Roots,Harvest Roots
GingerPlant_DismantleActions[0].ActionLog.LogText,I harvested some ginger roots.,I harvested some ginger roots.
JasminePlant_CardName,Jasmine Flowers,Jasmine Flowers
JasminePlant_CardDescription,An aromatic plant I could use for decoration or making a relaxing tea.,An aromatic plant I could use for decoration or making a relaxing tea.
JasminePlant_DismantleActions[0].ActionName,Harvest Flowers,Harvest Flowers
KavaPlant_CardName,Kava Plant,Kava Plant
KavaPlant_CardDescription,I could harvest its root and prepare it into a soothing brew that should improve my mood as well as help against pain and fever.,I could harvest its root and prepare it into a soothing brew that should improve my mood as well as help against pain and fever.
KavaPlant_DismantleActions[0].ActionName,Harvest Roots,Harvest Roots
KavaPlant_DismantleActions[0].ActionLog.LogText,I harvested some kava roots.,I harvested some kava roots.
LargeTree_CardName,Large Tree,Large Tree
LargeTree_CardDescription,"A light soft wood, could be good for making buildings.","A light soft wood, could be good for making buildings."
LargeTree_Progress.OnZero.ActionDescription,Tree Down!,Tree Down!
LargeTree_Progress.OnFull.ActionDescription,Tree Down!,Tree Down!
LargeTree_CardInteractions[0].ActionName,Cut Tree,Cut Tree
LargeTree_CardInteractions[1].ActionName,Cut Tree,Cut Tree
LargeTreeFelled_CardName,Felled Large Tree,Felled Large Tree
LargeTreeFelled_CardDescription,Just need to clear it off branches now.,Just need to clear it off branches now.
LargeTreeFelled_CardInteractions[0].ActionName,Clean Log of braches,Clean Log of braches
LargeTreeFelled_CardInteractions[1].ActionName,Clean Log of braches,Clean Log of braches
Lemongrass_CardName,Lemongrass,Lemongrass
Lemongrass_CardDescription,An edible plant.,An edible plant.
Lemongrass_DismantleActions[0].ActionName,Harvest,Harvest
MagicMushroomsPlant_CardName,Magic Mushrooms,Magic Mushrooms
MagicMushroomsPlant_CardDescription,An edible plant.,An edible plant.
MagicMushroomsPlant_DismantleActions[0].ActionName,Harvest,Harvest
MangoTree_CardName,Mango Tree,Mango Tree
MangoTree_CardDescription,I could get mangos here.,I could get mangos here.
MangoTree_FuelCapacity.CardStatName,Mango Growth,Mango Growth
MangoTree_FuelCapacity.OnFull.ActionDescription,Tree has Mangoes again!,Tree has Mangoes again!
MangoTree_DismantleActions[0].ActionName,Harvest,Harvest
MangoTreeCleared_CardName,Cleared Mango Tree,Cleared Mango Tree
MangoTreeCleared_CardDescription,Mangos should grow back eventually.,Mangos should grow back eventually.
MangoTreeCleared_FuelCapacity.CardStatName,Mango Growth,Mango Growth
MangoTreeCleared_FuelCapacity.OnFull.ActionDescription,Tree has Mangoes again!,Tree has Mangoes again!
MangoTreeCleared_Progress.CardStatName,Cutting Progress,Cutting Progress
MangoTreeCleared_Progress.OnZero.ActionDescription,Tree Down!,Tree Down!
MangoTreeCleared_CardInteractions[0].ActionName,Cut Down Tree,Cut Down Tree
MangoTreeCleared_CardInteractions[1].ActionName,Cut Down Tree,Cut Down Tree
NipaPalm_CardName,Nipa Palm,Nipa Palm
NipaPalm_CardDescription,I could get nipa fruits from it and make sugar or wine with its sap.,I could get nipa fruits from it and make sugar or wine with its sap.
NipaPalm_CardInteractions[0].ActionName,Cut Nipa Fruit,Cut Nipa Fruit
NipaPalm_CardInteractions[0].ActionLog.LogText,I cut some Nipa Fruit.,I cut some Nipa Fruit.
NipaSapStation_CardName,Nipa Palm,Nipa Palm
NipaSapStation_CardDescription,I can place a container here it to fill it with sap.,I can place a container here it to fill it with sap.
NipaSapStation_CookingRecipes[0].ActionName,Maintain,Maintain
NipaSapStation_CookingRecipes[1].ActionName,Sap,Sap
PalmBush_CardName,Palm Bush,Palm Bush
PalmBush_CardDescription,Could harvest palm fronds from here.,Could harvest palm fronds from here.
PalmBush_DismantleActions[0].ActionName,Harvest,Harvest
PalmBush_DismantleActions[0].ActionLog.LogText,I harvested some Chilies.,I harvested some Chilies.
PalmTree_CardName,Palm Tree,Palm Tree
PalmTree_CardDescription,"Could get coconuts from it, if I'm willing to risk it up there.","Could get coconuts from it, if I'm willing to risk it up there."
PalmTree_Progress.OnZero.ActionDescription,Tree Down!,Tree Down!
PalmTree_Progress.OnFull.ActionDescription,Tree Felled,Tree Felled
PalmTree_CardInteractions[0].ActionName,Cut Down,Cut Down
PalmTree_CardInteractions[1].ActionName,Cut Down,Cut Down
PalmTree_CardInteractions[2].ActionName,Hit Coconut,Hit Coconut
PalmTree_CardInteractions[2].ProducedCards[0].CollectionMessages[0],Missed!,Missed!
PalmTree_CardInteractions[2].ProducedCards[1].CollectionMessages[0],Got it!,Got it!
PalmTree_OnStatsChangeActions[0].ActionName,Cleared,Cleared
PalmTree_DismantleActions[0].ActionName,Climb,Climb
PalmTree_DismantleActions[1].ActionName,Train Climbing,Train Climbing
PalmTreeCleared_CardName,Cleared Palm Tree,Cleared Palm Tree
PalmTreeCleared_CardDescription,This palm tree no longer has any coconuts. They'll grow back eventually.,This palm tree no longer has any coconuts. They'll grow back eventually.
PalmTreeCleared_FuelCapacity.CardStatName,Coconut Growth,Coconut Growth
PalmTreeCleared_FuelCapacity.OnFull.ActionDescription,Tree has Coconuts again!,Tree has Coconuts again!
PalmTreeCleared_Progress.CardStatName,Cutting Pogress,Cutting Pogress
PalmTreeCleared_Progress.OnZero.ActionDescription,Tree Down!,Tree Down!
PalmTreeCleared_CardInteractions[0].ActionName,Cut Down,Cut Down
PalmTreeCleared_CardInteractions[1].ActionName,Cut Down,Cut Down
PalmTreeCleared_DismantleActions[0].ActionName,Train Climbing,Train Climbing
PalmTreeFelled_CardName,Felled Palm Tree,Felled Palm Tree
PalmTreeFelled_CardInteractions[0].ActionName,Clear,Clear
PalmTreeFelled_CardInteractions[1].ActionName,Clear,Clear
PalmTreeNew_CardName,Palm Tree,Palm Tree
PalmTreeNew_CardDescription,"Could get coconuts from it, if I'm willing to risk it up there.","Could get coconuts from it, if I'm willing to risk it up there."
PalmTreeNew_UsageDurability.CardStatName,Coconuts,Coconuts
PalmTreeNew_FuelCapacity.CardStatName,Coconut Growth,Coconut Growth
PalmTreeNew_FuelCapacity.OnFull.ActionDescription,Tree has Coconuts again!,Tree has Coconuts again!
PalmTreeNew_Progress.OnZero.ActionDescription,Tree Down!,Tree Down!
PalmTreeNew_Progress.OnFull.ActionDescription,Tree Felled,Tree Felled
PalmTreeNew_SpecialDurability1.CardStatName,Coconut Growth,Coconut Growth
PalmTreeNew_SpecialDurability1.OnFull.ActionDescription,Tree has grown coconuts!,Tree has grown coconuts!
PalmTreeNew_CardInteractions[0].ActionName,Cut Down,Cut Down
PalmTreeNew_CardInteractions[1].ActionName,Cut Down,Cut Down
PalmTreeNew_CardInteractions[2].ActionName,Throw Rock,Throw Rock
PalmTreeNew_OnStatsChangeActions[0].ActionName,Cleared,Cleared
PalmTreeNew_DismantleActions[0].ActionName,Climb,Climb
PalmTreeNew_DismantleActions[1].ActionName,Train Climbing,Train Climbing
PalmTreeNewMultiEventOld_CardName,Palm Tree,Palm Tree
PalmTreeNewMultiEventOld_CardDescription,"Could get coconuts from it, if I'm willing to risk it up there.","Could get coconuts from it, if I'm willing to risk it up there."
PalmTreeNewMultiEventOld_UsageDurability.CardStatName,Coconuts,Coconuts
PalmTreeNewMultiEventOld_FuelCapacity.CardStatName,Coconut Growth,Coconut Growth
PalmTreeNewMultiEventOld_FuelCapacity.OnFull.ActionDescription,Tree has Coconuts again!,Tree has Coconuts again!
PalmTreeNewMultiEventOld_Progress.OnZero.ActionDescription,Tree Down!,Tree Down!
PalmTreeNewMultiEventOld_Progress.OnFull.ActionDescription,Tree Felled,Tree Felled
PalmTreeNewMultiEventOld_SpecialDurability1.CardStatName,Coconut Growth,Coconut Growth
PalmTreeNewMultiEventOld_SpecialDurability1.OnFull.ActionDescription,Tree has grown coconuts!,Tree has grown coconuts!
PalmTreeNewMultiEventOld_CardInteractions[0].ActionName,Cut Down,Cut Down
PalmTreeNewMultiEventOld_CardInteractions[1].ActionName,Cut Down,Cut Down
PalmTreeNewMultiEventOld_OnStatsChangeActions[0].ActionName,Cleared,Cleared
PalmTreeNewMultiEventOld_DismantleActions[0].ActionName,Climb,Climb
PalmTreeNewMultiEventOld_DismantleActions[1].ActionName,Climb,Climb
PalmTreeNewMultiEventOld_DismantleActions[2].ActionName,Climb,Climb
PalmTreeNewMultiEventOld_DismantleActions[3].ActionName,Climb,Climb
PalmTreeNewMultiEventOld_DismantleActions[4].ActionName,Train Climbing,Train Climbing
PalmTreeSapStation_CardName,Sap Station,Sap Station
PalmTreeSapStation_CardDescription,Can extract sap from there to make sugar and wine.,Can extract sap from there to make sugar and wine.
PalmTreeSapStation_CardInteractions[0].ActionName,Cut Down,Cut Down
PalmTreeSapStation_CardInteractions[1].ActionName,Cut Down,Cut Down
PalmTreeSapStation_DismantleActions[0].ActionName,Climb,Climb
PalmTreeSapStation_DismantleActions[1].ActionName,Train Climbing,Train Climbing
PalmTreeSapStation_InventorySlotsText,Clay Vase,Clay Vase
PalmTreeSapStation_CookingRecipes[0].ActionName,Sap,Sap
PalmTreeSapStation_CookingRecipes[1].ActionName,Maintain,Maintain
PalmTreeSapStationEmpty_CardName,Empty Sap Station,Empty Sap Station
PalmTreeSapStationEmpty_CardDescription,"This Palm is depleted, should probably cut it down to recover my things.","This Palm is depleted, should probably cut it down to recover my things."
PalmTreeSapStationEmpty_CardInteractions[0].ActionName,Cut Down,Cut Down
PalmTreeSapStationEmpty_CardInteractions[1].ActionName,Cut Down,Cut Down
PalmTreeSapStationEmpty_DismantleActions[0].ActionName,Climb,Climb
PalmTreeSapStationEmpty_DismantleActions[1].ActionName,Train Climbing,Train Climbing
PalmTree_IH_CardName,Palm Tree,Palm Tree
PalmTree_IH_CardDescription,"Can get coconuts from it, or cut it down for wood.","Can get coconuts from it, or cut it down for wood."
PalmTree_IH_CardInteractions[0].ActionName,Cut Down,Cut Down
PalmTree_IH_CardInteractions[1].ActionName,Cut Down,Cut Down
PalmTree_IH_OnStatsChangeActions[0].ActionName,Cleared,Cleared
PalmTree_IH_DismantleActions[0].ActionName,Climb,Climb
PalmTree_Unique_CardName,Palm Tree,Palm Tree
PalmTree_Unique_CardDescription,"Can get coconuts from it, or cut it down for wood.","Can get coconuts from it, or cut it down for wood."
PalmTree_Unique_CardInteractions[0].ActionName,Climb for Coconuts,Climb for Coconuts
PalmTree_Unique_CardInteractions[1].ActionName,Climb for Coconuts,Climb for Coconuts
PalmTree_Unique_CardInteractions[2].ActionName,Climb for Coconuts,Climb for Coconuts
PalmTree_Unique_CardInteractions[3].ActionName,Cut Down,Cut Down
PalmTree_Unique_CardInteractions[4].ActionName,Cut Down,Cut Down
PalmTree_Unique_DismantleActions[0].ActionName,Climb fo Coconuts,Climb fo Coconuts
PuffballsPlant_CardName,Puffballs,Puffballs
PuffballsPlant_CardDescription,An edible mushroom.,An edible mushroom.
PuffballsPlant_DismantleActions[0].ActionName,Harvest,Harvest
RicePlant_CardName,Rice,Rice
RicePlant_CardDescription,I should cut its stalks and thresh them to get their grain.,I should cut its stalks and thresh them to get their grain.
RicePlant_CardInteractions[0].ActionName,Harvest,Harvest
SagoPalm_CardName,Sago Palm,Sago Palm
SagoPalm_CardDescription,I could make sago flour out of this tree. I just need to fell it and wet its sawdust.,I could make sago flour out of this tree. I just need to fell it and wet its sawdust.
SagoPalm_CardInteractions[0].ActionName,Cut Tree,Cut Tree
SagoPalm_CardInteractions[0].ActionLog.LogText,I cut down a sago palm.,I cut down a sago palm.
SagoPalm_CardInteractions[1].ActionName,Cut Tree,Cut Tree
SagoPalmFelled_CardName,Felled Sago Palm,Felled Sago Palm
SagoPalmFelled_CardDescription,I should split the log in two to extract its sawdust.,I should split the log in two to extract its sawdust.
SagoPalmFelled_CardInteractions[0].ActionName,Split Log,Split Log
SagoPalmFelled_CardInteractions[1].ActionName,Split Log,Split Log
SagoSplitLog_CardName,Split Log,Split Log
SagoSplitLog_CardDescription,I should extract its pith.,I should extract its pith.
SagoSplitLog_CardInteractions[0].ActionName,Extract Sawdust,Extract Sawdust
SnakegrassPatch_CardName,Snakegrass Patch,Snakegrass Patch
SnakegrassPatch_CardDescription,I should be able to extract fibres for cordage from this.,I should be able to extract fibres for cordage from this.
SnakegrassPatch_DismantleActions[0].ActionName,Harvest,Harvest
SnakegrassPatch_DismantleActions[0].ActionLog.LogText,I harvested some Snakegras.,I harvested some Snakegras.
SpiderLily_CardName,Spider Lily,Spider Lily
SpiderLily_CardDescription,"I could harvest its leaves, they have antibiotic properties.","I could harvest its leaves, they have antibiotic properties."
SpiderLily_DismantleActions[0].ActionName,Harvest Leaves,Harvest Leaves
SpiderLily_DismantleActions[0].ActionLog.LogText,I harvested some spider lily leaves.,I harvested some spider lily leaves.
TropicalAlmondTree_CardName,Tropical Almond Tree,Tropical Almond Tree
TropicalAlmondTree_CardDescription,I could get tropical almonds from here.,I could get tropical almonds from here.
TropicalAlmondTree_FuelCapacity.CardStatName,Almond Growth,Almond Growth
TropicalAlmondTree_FuelCapacity.OnFull.ActionDescription,Tree has Almonds again!,Tree has Almonds again!
TropicalAlmondTree_DismantleActions[0].ActionName,Collect Tropical Almonds,Collect Tropical Almonds
TropicalAlmondTreeCleared_CardName,Cleared Tropical Almond Tree,Cleared Tropical Almond Tree
TropicalAlmondTreeCleared_CardDescription,Almonds will grow back here eventually.,Almonds will grow back here eventually.
TropicalAlmondTreeCleared_FuelCapacity.CardStatName,Almond Growth,Almond Growth
TropicalAlmondTreeCleared_FuelCapacity.OnFull.ActionDescription,Tree has Almonds again!,Tree has Almonds again!
TropicalAlmondTreeCleared_Progress.CardStatName,Cutting Progress,Cutting Progress
TropicalAlmondTreeCleared_Progress.OnZero.ActionDescription,Tree Down!,Tree Down!
TropicalAlmondTreeCleared_CardInteractions[0].ActionName,Cut Down Tree,Cut Down Tree
TropicalAlmondTreeCleared_CardInteractions[1].ActionName,Cut Down Tree,Cut Down Tree
TropicalAlmondTreeFelled_CardName,Felled Tropical Almond Tree,Felled Tropical Almond Tree
TropicalAlmondTreeFelled_CardInteractions[0].ActionName,Clean Branches,Clean Branches
TropicalAlmondTreeFelled_CardInteractions[1].ActionName,Clean Branches,Clean Branches
WeevilLily_CardName,Weevil Lily,Weevil Lily
WeevilLily_CardDescription,I could harvest its leaves to make bandages.,I could harvest its leaves to make bandages.
WeevilLily_DismantleActions[0].ActionName,Harvest Leaves,Harvest Leaves
WeevilLily_DismantleActions[0].ActionLog.LogText,I cut some bandage plant leaves.,I cut some bandage plant leaves.
YamPlant_CardName,Wild Yam,Wild Yam
YamPlant_CardDescription,I should dig up its tubers. Might be better with some tools.,I should dig up its tubers. Might be better with some tools.
YamPlant_CardInteractions[0].ActionName,Dig Up Tubers,Dig Up Tubers
YamPlant_DismantleActions[0].ActionName,Dig Up Tubers,Dig Up Tubers
YamPlant_DismantleActions[0].ActionLog.LogText,I harvested dug up some wild yam tubers.,I harvested dug up some wild yam tubers.
RaftEntrance_CardName,Raft,Raft
RaftEntrance_CardDescription,My raft is ready. I should fill it with supplies before leaving.,My raft is ready. I should fill it with supplies before leaving.
RaftEntrance_UsageDurability.OnFull.ActionName,Construction Ready,Construction Ready
RaftEntrance_DismantleActions[0].ActionName,Board the Raft,Board the Raft
RaftEntrance_DismantleActions[0].FadeMessage,Boarding the Raft...,Boarding the Raft...
RaftEntranceAtoll_CardName,Raft,Raft
RaftEntranceAtoll_CardDescription,My raft is ready. I should fill it with supplies before leaving.,My raft is ready. I should fill it with supplies before leaving.
RaftEntranceAtoll_UsageDurability.OnFull.ActionName,Construction Ready,Construction Ready
RaftEntranceAtoll_DismantleActions[0].ActionName,Board the Raft,Board the Raft
RaftEntranceAtoll_DismantleActions[0].FadeMessage,Boarding the Raft...,Boarding the Raft...
RaftExit_CardName,Leave Raft,Leave Raft
RaftExit_CardDescription,The raft is still not in the water. I can go back to the shore whenever I want.,The raft is still not in the water. I can go back to the shore whenever I want.
RaftExit_DismantleActions[0].ActionName,Leave the raft,Leave the raft
RaftExitAtoll_CardName,Leave Raft,Leave Raft
RaftExitAtoll_CardDescription,The raft is not in the water. I can go back to the shore whenever I want.,The raft is not in the water. I can go back to the shore whenever I want.
RaftExitAtoll_DismantleActions[0].ActionName,Leave the raft,Leave the raft
RaftShelter_CardName,Raft Shelter,Raft Shelter
RaftShelter_CardDescription,Should protect me from the sun and weather.,Should protect me from the sun and weather.
RaftShelter_UsageDurability.OnZero.ActionDescription,I lost the Raft's Shelter!,I lost the Raft's Shelter!
RaftShelter_UsageDurability.OnZero.ActionLog.LogText,I lost a supply chest!,I lost a supply chest!
RaftShelter_DismantleActions[0].ActionName,Nap,Nap
RaftShelter_DismantleActions[0].StatInterruptions[1].Notification,I'm too thirsty to sleep...,I'm too thirsty to sleep...
RaftShelter_DismantleActions[0].StatInterruptions[2].Notification,I'm too hot to sleep...,I'm too hot to sleep...
RaftShelter_DismantleActions[0].StatInterruptions[3].Notification,I'm losing too much blood...,I'm losing too much blood...
RaftShelter_DismantleActions[0].StatInterruptions[4].Notification,I'm not feeling well...,I'm not feeling well...
RaftShelter_DismantleActions[0].StatInterruptions[5].Notification,I'm not feeling well...,I'm not feeling well...
RaftShelter_DismantleActions[0].FadeMessage,Taking a nap...,Taking a nap...
RaftShelter_DismantleActions[1].ActionName,Sleep,Sleep
RaftShelter_DismantleActions[1].StatInterruptions[1].Notification,I'm too thirsty to sleep...,I'm too thirsty to sleep...
RaftShelter_DismantleActions[1].StatInterruptions[2].Notification,I'm too hot to sleep...,I'm too hot to sleep...
RaftShelter_DismantleActions[1].StatInterruptions[3].Notification,I'm losing too much blood...,I'm losing too much blood...
RaftShelter_DismantleActions[1].StatInterruptions[4].Notification,I'm not feeling well...,I'm not feeling well...
RaftShelter_DismantleActions[1].StatInterruptions[5].Notification,I'm not feeling well...,I'm not feeling well...
RaftShelter_DismantleActions[1].FadeMessage,Sleeping...,Sleeping...
SailDown_Raft_CardName,Lowered Sail,Lowered Sail
SailDown_Raft_CardDescription,I should raise it when the wind is favourable.,I should raise it when the wind is favourable.
SailDown_Raft_UsageDurability.OnZero.ActionDescription,The sail has collapsed.,The sail has collapsed.
SailDown_Raft_UsageDurability.OnZero.ActionLog.LogText,The sail got destroyed.,The sail got destroyed.
SailDown_Raft_CardInteractions[0].ActionName,Repair Sail,Repair Sail
SailDown_Raft_DismantleActions[0].ActionName,Raise the Sail,Raise the Sail
SailUp_Raft_CardName,Raised Sail,Raised Sail
SailUp_Raft_CardDescription,"I should lower it when the wind is not favourable, or it might get damaged.","I should lower it when the wind is not favourable, or it might get damaged."
SailUp_Raft_UsageDurability.OnZero.ActionDescription,The sail has collapsed.,The sail has collapsed.
SailUp_Raft_UsageDurability.OnZero.ActionLog.LogText,The sail got destroyed.,The sail got destroyed.
SailUp_Raft_DismantleActions[0].ActionName,Lower the Sail,Lower the Sail
Start_Raft_CardName,Start Journey,Start Journey
Start_Raft_CardDescription,"Can push the raft to the water once I'm ready. Should bring enough food and water supplies, cord for repairs and any objects I might need.\n\n<b>WARNING, POINT OF NO RETURN</b>","Can push the raft to the water once I'm ready. Should bring enough food and water supplies, cord for repairs and any objects I might need.\n\n<b>WARNING, POINT OF NO RETURN</b>"
Start_Raft_DismantleActions[0].ActionName,Push raft to the water,Push raft to the water
Start_Raft_DismantleActions[0].ActionLog.LogText,I pushed my raft into the sea and sailed away from the island.,I pushed my raft into the sea and sailed away from the island.
Start_RaftAtoll_CardName,Start Journey,Start Journey
Start_RaftAtoll_CardDescription,Can push the raft to the water once I'm ready to keep travelling.,Can push the raft to the water once I'm ready to keep travelling.
Start_RaftAtoll_DismantleActions[0].ActionName,Push raft to the water,Push raft to the water
Start_RaftAtoll_DismantleActions[0].ActionLog.LogText,I pushed my raft into the sea and sailed away from the Atoll.,I pushed my raft into the sea and sailed away from the Atoll.
AlienCrater_CardName,Crater,Crater
AlienCrater_CardDescription,"It fell from the sky, something grows out of it.","It fell from the sky, something grows out of it."
AlienCrater_Progress.CardStatName,Growth,Growth
AlienCrater_Progress.OnFull.ActionDescription,An Alien Grwoth has sprouted!,An Alien Grwoth has sprouted!
AlienGrowth_CardName,Blooming Alien Growth,Blooming Alien Growth
AlienGrowth_CardDescription,Smells strangely good and has bulbous nodules growing on its surface.,Smells strangely good and has bulbous nodules growing on its surface.
AlienGrowth_CardInteractions[0].ActionName,Cut Down,Cut Down
AlienGrowth_DismantleActions[0].ActionName,Harvest,Harvest
AlienGrowthCleared_CardName,Alien Growth,Alien Growth
AlienGrowthCleared_CardDescription,"Smells strangely good, something is growing on it.","Smells strangely good, something is growing on it."
AlienGrowthCleared_Progress.CardStatName,Alien Growth,Alien Growth
AlienGrowthCleared_Progress.OnFull.ActionDescription,Alien Growth is blooming!,Alien Growth is blooming!
AlienGrowthCleared_CardInteractions[0].ActionName,Cut Down,Cut Down
CinchonaTree_CardName,Cinchona Tree,Cinchona Tree
CinchonaTree_CardDescription,Could cut its bark to treat Malaria.,Could cut its bark to treat Malaria.
CinchonaTree_UsageDurability.OnZero.ActionDescription,Tree cleared of Bark,Tree cleared of Bark
CinchonaTree_CardInteractions[0].ActionName,Cut Tree,Cut Tree
CinchonaTree_CardInteractions[1].ActionName,Harvest Bark,Harvest Bark
CinchonaTree_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,No Bark Left.,No Bark Left.
CinchonaTreeCleared_CardName,Cleared Cinchona Tree,Cleared Cinchona Tree
CinchonaTreeCleared_CardDescription,No more bark here.,No more bark here.
CinchonaTreeCleared_UsageDurability.OnZero.ActionDescription,Tree cleared of Bark,Tree cleared of Bark
CinchonaTreeCleared_CardInteractions[0].ActionName,Cut Tree,Cut Tree
Cistern_CardName,Cistern,Cistern
Cistern_CardDescription,An underground reservoir. Should keep water from evaporating.,An underground reservoir. Should keep water from evaporating.
Debris_CardName,Debris,Debris
Debris_CardDescription,Should clear this. There's probably useful resources in there.,Should clear this. There's probably useful resources in there.
Debris_UsageDurability.OnZero.ActionDescription,Debris Cleared!,Debris Cleared!
Debris_CardInteractions[0].ActionName,Clear,Clear
Debris_DismantleActions[0].ActionName,Clear,Clear
FloatingDebris_CardName,Floating Debris,Floating Debris
FloatingDebris_CardDescription,I could probably find something useful in there.,I could probably find something useful in there.
FloatingDebris_SpoilageTime.CardStatName,Time Left,Time Left
FloatingDebris_SpoilageTime.OnZero.ActionDescription,Floating debris is out of reach!,Floating debris is out of reach!
FloatingDebris_UsageDurability.CardStatName,Leave,Leave
FloatingDebris_UsageDurability.OnZero.ActionDescription,The shark has left,The shark has left
FloatingDebris_Progress.OnFull.ActionDescription,I can hear the ship's horn!,I can hear the ship's horn!
FloatingDebris_DismantleActions[0].ActionName,Harvest,Harvest
MangoTreeYoung_CardName,Young Mango Tree,Young Mango Tree
MangoTreeYoung_CardDescription,"A young tree, it will grow into a Mango tree.","A young tree, it will grow into a Mango tree."
MangoTreeYoung_Progress.CardStatName,Growth,Growth
MangoTreeYoung_Progress.OnFull.ActionDescription,Mango Tree has matured,Mango Tree has matured
MangoTreeYoung_CardInteractions[0].ActionName,Cut Tree,Cut Tree
MudDeposit_CardName,Mud Deposit,Mud Deposit
MudDeposit_CardDescription,Can get mud from here.,Can get mud from here.
MudDeposit_CardInteractions[0].ActionName,Dig Up Mud,Dig Up Mud
MudDeposit_DismantleActions[0].ActionName,Dig up Mud,Dig up Mud
PalmTreeYoung_CardName,Young palm Tree,Young palm Tree
PalmTreeYoung_CardDescription,"A young palm, it will grow into a tall coconut tree.","A young palm, it will grow into a tall coconut tree."
PalmTreeYoung_Progress.OnFull.ActionDescription,Palm Tree has matured!,Palm Tree has matured!
PalmTreeYoung_CardInteractions[0].ActionName,Cut Tree,Cut Tree
PassingShip_CardName,Passing Ship,Passing Ship
PassingShip_CardDescription,A passing Ship! If only I could catch its attention! A Flare or Torch would really help.,A passing Ship! If only I could catch its attention! A Flare or Torch would really help.
PassingShip_SpoilageTime.CardStatName,Time Left,Time Left
PassingShip_SpoilageTime.OnZero.ActionDescription,The ship left!,The ship left!
PassingShip_UsageDurability.CardStatName,Leave,Leave
PassingShip_UsageDurability.OnZero.ActionDescription,The shark has left,The shark has left
